timestamp,current_cpu,predicted_cpu,old_replicas,new_replicas,method
2026-06-03T08:45:07.798059Z,0.0493607334792614,0.06638136130555863,1,1,predictive
2026-06-03T08:50:12.646606Z,0.16442911326885223,0.056053590530910795,1,1,predictive
2026-06-03T08:55:09.038336Z,0.1646369844675064,0.07703664123774526,1,1,predictive
2026-06-03T09:00:08.711866Z,0.16434088349342346,0.06757402128418259,1,1,predictive
2026-06-03T09:05:12.637544Z,0.15946707129478455,0.07932435395193459,1,1,predictive
2026-06-03T09:15:36.658727Z,0.15861107409000397,0.07284877437668989,1,1,predictive
2026-06-03T09:20:13.513764Z,0.16427215933799744,0.14692963974031378,1,2,predictive
2026-06-03T09:25:09.131879Z,0.1621970385313034,0.1107590340791371,2,2,predictive
2026-06-03T09:30:07.822877Z,0.16289518773555756,0.06965510527300706,2,1,predictive
2026-06-03T09:35:11.795325Z,0.08902062475681305,0.07299690344140068,1,1,predictive
2026-06-03T09:40:07.926764Z,0.1646118313074112,0.15452952861949057,1,2,predictive
